Currency,Rate
AED,3.896351
AFN,92.81894
ALL,113.666313
AMD,418.481363
ANG,1.912401
AOA,534.317326
ARS,189.508604
AUD,1.548603
AWG,1.912121
AZN,1.807993
BAM,1.957059
BBD,2.142546
BDT,109.984673
BGN,1.955804
BHD,0.399942
BIF,2187.403044
BMD,1.060816
BND,1.421293
BOB,7.332305
BRL,5.784655
BSD,1.061166
BTC,6.2910861e-05
BTN,87.845169
BWP,13.500279
BYN,2.678882
BYR,20791.9979
BZD,2.138843
CAD,1.431715
CDF,2150.274254
CHF,0.984448
CLF,0.032867
CLP,906.895766
CNY,7.307536
COP,5215.566592
CRC,627.223912
CUC,1.060816
CUP,28.11163
CVE,111.040922
CZK,23.979962
DJF,188.528451
DKK,7.437743
DOP,59.723293
DZD,145.457996
EGP,28.067752
ERN,15.912243
ETB,56.913043
EUR,1.0
FJD,2.326423
FKP,0.886264
GBP,0.879364
GEL,2.848275
GGP,0.886264
GHS,10.82535
GIP,0.886264
GMD,65.770717
GNF,9308.662058
GTQ,8.32713
GYD,221.999421
HKD,8.293726
HNL,26.186213
HRK,7.470477
HTG,156.514295
HUF,395.854317
IDR,16550.112083
ILS,3.740916
IMP,0.886264
INR,87.738015
IQD,1549.322088
IRR,44448.199914
ISK,151.707524
JEP,0.886264
JMD,160.233631
JOD,0.753072
JPY,140.383082
KES,131.063965
KGS,90.890553
KHR,4368.441423
KMF,494.711371
KPW,954.823858
KRW,1349.400411
KWD,0.325055
KYD,0.884355
KZT,494.096332
LAK,18383.94514
LBP,1614.562112
LKR,387.838172
LRD,163.893713
LSL,18.033813
LTL,3.132315
LVL,0.641677
LYD,5.097239
MAD,11.077571
MDL,20.352182
MGA,4758.821246
MKD,61.651975
MMK,2228.344657
MNT,3650.440711
MOP,8.545367
MRO,378.711208
MUR,46.360117
MVR,16.347566
MWK,1085.743247
MXN,20.544717
MYR,4.673997
MZN,67.712192
NAD,18.033993
NGN,476.317345
NIO,38.624297
NOK,10.681156
NPR,140.55227
NZD,1.6822
OMR,0.408407
PAB,1.061166
PEN,4.046984
PGK,3.739354
PHP,59.35001
PKR,240.778768
PLN,4.665671
PYG,7742.462462
QAR,3.862697
RON,4.928763
RSD,117.347591
RUB,77.279194
RWF,1136.134171
SAR,3.988129
SBD,8.767459
SCR,13.570557
SDG,607.847815
SEK,11.139774
SGD,1.422687
SHP,1.461163
SLE,20.140165
SLL,20128.987661
SOS,603.073269
SRD,33.527625
STD,21956.753962
SVC,9.284831
SYP,2664.84964
SZL,18.033414
THB,35.95125
TJS,10.812587
TMT,3.723465
TND,3.315581
TOP,2.497054
TRY,19.882603
TTD,7.200222
TWD,32.571296
TZS,2476.644888
UAH,38.997591
UGX,3957.873716
USD,1.060816
UYU,42.248533
UZS,11944.790251
VEF,1858703.05997
VES,18.603748
VND,24955.701561
VUV,125.3099
WST,2.866365
XAF,656.369216
XAG,0.044218
XAU,0.000572
XCD,2.866909
XDR,0.798001
XOF,654.523843
XPF,120.439762
YER,265.51722
ZAR,17.92684
ZMK,9548.621825
ZMW,19.291115
ZWL,341.58239
